chrom	arm	start	end
chr1	1p	1	123400000
chr1	1q	123400000	248956422
chr2	2p	1	93900000
chr2	2q	93900000	242193529
chr3	3p	1	90900000
chr3	3q	90900000	198295559
chr4	4p	1	50000000
chr4	4q	50000000	190214555
chr5	5p	1	48800000
chr5	5q	48800000	181538259
chr6	6p	1	59800000
chr6	6q	59800000	170805979
chr7	7p	1	60100000
chr7	7q	60100000	159345973
chr8	8p	1	45200000
chr8	8q	45200000	145138636
chr9	9p	1	43000000
chr9	9q	43000000	138394717
chr10	10p	1	39800000
chr10	10q	39800000	133797422
chr11	11p	1	53400000
chr11	11q	53400000	135086622
chr12	12p	1	35500000
chr12	12q	35500000	133275309
chr13	13p	1	17700000
chr13	13q	17700000	114364328
chr14	14p	1	17200000
chr14	14q	17200000	107043718
chr15	15p	1	19000000
chr15	15q	19000000	101991189
chr16	16p	1	36800000
chr16	16q	36800000	90338345
chr17	17p	1	25100000
chr17	17q	25100000	83257441
chr18	18p	1	18500000
chr18	18q	18500000	80373285
chr19	19p	1	26200000
chr19	19q	26200000	58617616
chr20	20p	1	28100000
chr20	20q	28100000	64444167
chr21	21p	1	12000000
chr21	21q	12000000	46709983
chr22	22p	1	15000000
chr22	22q	15000000	50818468
chrX	Xp	1	61000000
chrX	Xq	61000000	156040895
chrY	Yp	1	10400000
chrY	Yq	10400000	57227415
